Files_name; Bugginess
common/lib/src/main/java/org/apache/syncope/common/lib/types/AuditLoggerName.java;false
client/console/src/main/java/org/apache/syncope/client/console/wizards/any/StatusPanel.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/SyncopeServices.java;false
core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/entity/AnyAbout.java;false
core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/attrvalue/validation/InvalidEntityException.java;false
core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPARole.java;true
core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserQueryImpl.java;false
client/old_console/src/main/java/org/apache/syncope/client/console/panels/GroupSearchResultPanel.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/commands/policy/PolicyList.java;false
core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/entity/task/PushTask.java;false
core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/task/Notify.java;false
core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserManager.java;false
ext/camel/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPACamelRoute.java;false
core/logic/src/main/java/org/apache/syncope/core/logic/AbstractTransactionalLogic.java;false
common/lib/src/main/java/org/apache/syncope/common/lib/types/WorkflowTasks.java;false
core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/dao/ConfDAO.java;false
core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/outer/ReportTest.java;false
installer/src/main/java/org/apache/syncope/installer/utilities/InstallLog.java;true
core/workflow-java/src/main/java/org/apache/syncope/core/workflow/java/AbstractUserWorkflowAdapter.java;true
client/console/src/main/java/org/apache/syncope/client/console/wizards/any/UserWizardBuilder.java;false
core/misc/src/main/java/org/apache/syncope/core/misc/serialization/GuardedStringSerializer.java;false
client/console/src/main/java/org/apache/syncope/client/console/rest/ConfigurationRestClient.java;false
client/old_console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/preview/AbstractBinaryPreviewer.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/commands/notification/NotificationDelete.java;false
core/misc/src/main/java/org/apache/syncope/core/misc/spring/BeanUtils.java;false
common/lib/src/main/java/org/apache/syncope/common/lib/search/UserFiqlSearchConditionBuilder.java;true
common/lib/src/main/java/org/apache/syncope/common/lib/types/ConnConfPropSchema.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/commands/report/ReportList.java;false
ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/UserProvisionProcessor.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/commands/user/UserGetUsername.java;false
core/logic/src/main/java/org/apache/syncope/core/logic/report/GroupReportlet.java;false
common/lib/src/main/java/org/apache/syncope/common/lib/policy/AccountPolicyTO.java;false
client/console/src/main/java/org/apache/syncope/client/console/panels/PlainSchemaDetails.java;false
installer/src/main/java/org/apache/syncope/installer/utilities/PasswordGenerator.java;false
client/cli/src/main/java/org/apache/syncope/client/cli/commands/connector/ConnectorListConfigurationProperties.java;false
client/old_console/src/main/java/org/apache/syncope/client/console/panels/GroupSearchPanel.java;false
client/old_console/src/main/java/org/apache/syncope/client/console/rest/ConfigurationRestClient.java;false
client/enduser/src/main/java/org/apache/syncope/client/enduser/model/SyncopeTORequest.java;false
ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupCreateInSyncProcessor.java;false
client/console/src/main/java/org/apache/syncope/client/console/panels/RealmModalPanel.java;true
client/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/CheckBoxMultipleChoiceFieldPanel.java;false
client/console/src/main/java/org/apache/syncope/client/console/wizards/WizardMgtPanel.java;true
client/old_console/src/main/java/org/apache/syncope/client/console/pages/ConnObjectModalPage.java;false
core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/WorkflowServiceImpl.java;false
core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/UnwrappedObjectMapper.java;false
client/console/src/main/java/org/apache/syncope/client/console/pages/Reports.java;false
core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/AbstractEntity.java;false
core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/TaskServiceImpl.java;false
